offline_datapoint_0 1673818487 25,289
offline_datapoint_0 1673818490 25,279
offline_datapoint_0 1673818493 25,229
offline_datapoint_0 1673818496 25,228
offline_datapoint_0 1673818499 25,233
offline_datapoint_0 1673818502 25,231
offline_datapoint_0 1673818505 25,208
offline_datapoint_0 1673818508 25,244
offline_datapoint_0 1673818511 24,672
offline_datapoint_0 1673818514 24,585
offline_datapoint_0 1673818517 24,610
offline_datapoint_0 1673818520 24,659
offline_datapoint_0 1673818523 24,597
offline_datapoint_0 1673818526 24,605
offline_datapoint_0 1673818529 24,609
offline_datapoint_0 1673818532 24,605
offline_datapoint_0 1673818535 24,597
offline_datapoint_0 1673818538 24,599
offline_datapoint_0 1673818541 24,559
offline_datapoint_0 1673818544 24,557
offline_datapoint_0 1673818547 24,553
offline_datapoint_0 1673818550 24,552
offline_datapoint_0 1673818553 24,556
offline_datapoint_0 1673818556 24,556
offline_datapoint_0 1673818559 24,556
offline_datapoint_0 1673818562 24,563
offline_datapoint_0 1673818565 24,523
offline_datapoint_0 1673818568 24,509
offline_datapoint_0 1673818571 24,509
offline_datapoint_0 1673818574 24,511
offline_datapoint_0 1673818577 24,510
offline_datapoint_0 1673818580 24,509
offline_datapoint_0 1673818583 24,506
offline_datapoint_0 1673818586 24,502
offline_datapoint_0 1673818589 24,507
offline_datapoint_0 1673818592 24,499
offline_datapoint_0 1673818595 24,503
offline_datapoint_0 1673818598 24,505
offline_datapoint_0 1673818601 24,500
offline_datapoint_0 1673818604 24,508
offline_datapoint_0 1673818607 24,503
offline_datapoint_0 1673818610 24,504
offline_datapoint_0 1673818613 24,510
offline_datapoint_0 1673818616 24,506
offline_datapoint_0 1673818619 24,515
offline_datapoint_0 1673818622 24,506
offline_datapoint_0 1673818625 24,509
offline_datapoint_0 1673818628 24,512
offline_datapoint_0 1673818631 24,514
offline_datapoint_0 1673818634 24,512
offline_datapoint_0 1673818637 24,510
offline_datapoint_0 1673818640 24,508
offline_datapoint_0 1673818643 24,504
offline_datapoint_0 1673818646 24,501
offline_datapoint_0 1673818649 24,500
offline_datapoint_0 1673818652 24,498
offline_datapoint_0 1673818655 24,502
offline_datapoint_0 1673818658 24,495
offline_datapoint_0 1673818661 24,494
offline_datapoint_0 1673818664 24,493
offline_datapoint_0 1673818667 24,500
offline_datapoint_0 1673818670 24,500
offline_datapoint_0 1673818673 24,502
offline_datapoint_0 1673818676 24,496
offline_datapoint_0 1673818679 24,498
offline_datapoint_0 1673818682 24,498
offline_datapoint_0 1673818685 24,506
offline_datapoint_0 1673818688 24,503
offline_datapoint_0 1673818691 24,509
offline_datapoint_0 1673818694 24,515
offline_datapoint_0 1673818697 24,510
offline_datapoint_0 1673818700 24,512
offline_datapoint_0 1673818703 24,506
offline_datapoint_0 1673818706 24,510
offline_datapoint_0 1673818709 24,514
offline_datapoint_0 1673818712 24,515
offline_datapoint_0 1673818715 24,508
offline_datapoint_0 1673818718 24,503
offline_datapoint_0 1673818721 24,508
offline_datapoint_0 1673818724 24,508
offline_datapoint_0 1673818727 24,511
offline_datapoint_0 1673818730 24,515
offline_datapoint_0 1673818733 24,512
offline_datapoint_0 1673818736 24,513
offline_datapoint_0 1673818739 24,514
offline_datapoint_0 1673818742 24,516
offline_datapoint_0 1673818745 24,518
offline_datapoint_0 1673818748 24,519
offline_datapoint_0 1673818751 24,518
offline_datapoint_0 1673818754 24,521
offline_datapoint_0 1673818757 24,528
offline_datapoint_0 1673818760 24,526
offline_datapoint_0 1673818763 24,520
offline_datapoint_0 1673818766 24,525
offline_datapoint_0 1673818769 24,520
offline_datapoint_0 1673818772 24,552
offline_datapoint_0 1673818775 24,536
offline_datapoint_0 1673818778 24,537
offline_datapoint_0 1673818781 24,538
offline_datapoint_0 1673818784 24,537
offline_datapoint_0 1673818787 24,538
offline_datapoint_0 1673818790 24,535
offline_datapoint_0 1673818793 24,542
offline_datapoint_0 1673818796 24,545
offline_datapoint_0 1673818799 24,546
offline_datapoint_0 1673818802 24,544
offline_datapoint_0 1673818805 24,547
offline_datapoint_0 1673818808 24,550
offline_datapoint_0 1673818811 24,527
offline_datapoint_0 1673818814 24,523
offline_datapoint_0 1673818817 24,534
offline_datapoint_0 1673818820 24,534
offline_datapoint_0 1673818823 24,535
offline_datapoint_0 1673818826 24,535
offline_datapoint_0 1673818829 24,538
offline_datapoint_0 1673818832 24,536
offline_datapoint_0 1673818835 24,517
offline_datapoint_0 1673818838 24,520
offline_datapoint_0 1673818841 24,516
offline_datapoint_0 1673818844 24,519
offline_datapoint_0 1673818847 24,521
offline_datapoint_0 1673818850 24,511
offline_datapoint_0 1673818853 24,508
offline_datapoint_0 1673818856 24,507
offline_datapoint_0 1673818859 24,511
offline_datapoint_0 1673818862 24,508
offline_datapoint_0 1673818865 24,509
offline_datapoint_0 1673818868 24,509
offline_datapoint_0 1673818871 24,508
offline_datapoint_0 1673818874 24,517
offline_datapoint_0 1673818877 24,520
offline_datapoint_0 1673818880 24,520
offline_datapoint_0 1673818883 24,525
offline_datapoint_0 1673818886 24,520
offline_datapoint_0 1673818889 24,566
offline_datapoint_0 1673818892 24,572
offline_datapoint_0 1673818895 24,553
offline_datapoint_0 1673818898 24,555
offline_datapoint_0 1673818901 24,553
offline_datapoint_0 1673818904 24,559
offline_datapoint_0 1673818907 24,557
offline_datapoint_0 1673818910 24,555
offline_datapoint_0 1673818913 24,560
offline_datapoint_0 1673818916 24,557
offline_datapoint_0 1673818919 24,557
offline_datapoint_0 1673818922 24,556
offline_datapoint_0 1673818925 24,561
offline_datapoint_0 1673818928 24,556
offline_datapoint_0 1673818931 24,559
offline_datapoint_0 1673818934 24,560
offline_datapoint_0 1673818937 24,567
offline_datapoint_0 1673818940 24,558
offline_datapoint_0 1673818943 24,559
offline_datapoint_0 1673818946 24,558
offline_datapoint_0 1673818949 24,553
offline_datapoint_0 1673818952 24,549
offline_datapoint_0 1673818955 24,536
offline_datapoint_0 1673818958 24,535
offline_datapoint_0 1673818961 24,536
offline_datapoint_0 1673818964 24,551
offline_datapoint_0 1673818967 24,542
offline_datapoint_0 1673818970 24,541
offline_datapoint_0 1673818973 24,540
offline_datapoint_0 1673818976 24,542
offline_datapoint_0 1673818979 24,544
offline_datapoint_0 1673818982 24,549
offline_datapoint_0 1673818985 24,542
offline_datapoint_0 1673818988 24,542
offline_datapoint_0 1673818991 24,541
offline_datapoint_0 1673818994 24,538
offline_datapoint_0 1673818997 24,539
offline_datapoint_0 1673819000 24,534
offline_datapoint_0 1673819003 24,539
offline_datapoint_0 1673819006 24,539
offline_datapoint_0 1673819009 24,539
offline_datapoint_0 1673819012 24,542
offline_datapoint_0 1673819015 24,528
offline_datapoint_0 1673819018 24,525
offline_datapoint_0 1673819021 24,527
offline_datapoint_0 1673819024 24,527
offline_datapoint_0 1673819027 24,535
offline_datapoint_0 1673819030 24,535
offline_datapoint_0 1673819033 24,534
offline_datapoint_0 1673819036 24,535
offline_datapoint_0 1673819039 24,538
offline_datapoint_0 1673819042 24,538
offline_datapoint_0 1673819045 24,543
offline_datapoint_0 1673819048 24,539
offline_datapoint_0 1673819051 24,541
offline_datapoint_0 1673819054 24,539
offline_datapoint_0 1673819057 24,537
offline_datapoint_0 1673819060 24,538
offline_datapoint_0 1673819063 24,541
offline_datapoint_0 1673819066 24,539
offline_datapoint_0 1673819069 24,536
offline_datapoint_0 1673819072 24,541
offline_datapoint_0 1673819075 24,532
offline_datapoint_0 1673819078 24,531
offline_datapoint_0 1673819081 24,530
offline_datapoint_0 1673819084 24,530
offline_datapoint_0 1673819087 24,533
offline_datapoint_0 1673819090 24,535
offline_datapoint_0 1673819093 24,537
offline_datapoint_0 1673819096 24,540
offline_datapoint_0 1673819099 24,540
offline_datapoint_0 1673819102 24,542
offline_datapoint_0 1673819105 24,540
offline_datapoint_0 1673819108 24,537
offline_datapoint_0 1673819111 24,547
offline_datapoint_0 1673819114 24,536
offline_datapoint_0 1673819117 24,533
offline_datapoint_0 1673819120 24,532
offline_datapoint_0 1673819123 24,535
offline_datapoint_0 1673819126 24,535
offline_datapoint_0 1673819129 24,544
offline_datapoint_0 1673819132 24,541
offline_datapoint_0 1673819135 24,532
offline_datapoint_0 1673819138 24,541
offline_datapoint_0 1673819141 24,536
offline_datapoint_0 1673819144 24,538
offline_datapoint_0 1673819147 24,539
offline_datapoint_0 1673819150 24,540
offline_datapoint_0 1673819153 24,543
offline_datapoint_0 1673819156 24,539
offline_datapoint_0 1673819159 24,542
offline_datapoint_0 1673819162 24,539
offline_datapoint_0 1673819165 24,545
offline_datapoint_0 1673819168 24,545
offline_datapoint_0 1673819171 24,549
offline_datapoint_0 1673819174 24,551
offline_datapoint_0 1673819177 24,551
offline_datapoint_0 1673819180 24,550
offline_datapoint_0 1673819183 24,548
offline_datapoint_0 1673819186 24,549
offline_datapoint_0 1673819189 24,545
offline_datapoint_0 1673819192 24,548
offline_datapoint_0 1673819195 24,527
offline_datapoint_0 1673819198 24,523
offline_datapoint_0 1673819201 24,522
offline_datapoint_0 1673819204 24,617
offline_datapoint_0 1673819207 24,614
offline_datapoint_0 1673819210 24,613
offline_datapoint_0 1673819213 24,616
offline_datapoint_0 1673819216 24,617
offline_datapoint_0 1673819219 24,622
offline_datapoint_0 1673819222 24,622
offline_datapoint_0 1673819225 24,626
offline_datapoint_0 1673819228 24,623
offline_datapoint_0 1673819231 24,628
offline_datapoint_0 1673819234 24,624
offline_datapoint_0 1673819237 24,618
