16 1673818487 0,076643 0,200000 0,076643 0,076643 0,001175
19 1673818487 0,000163 0,800000 0,000137 0,000189 0,000000
16 1673818488 0,076643 0,200000 0,076643 0,076643 0,001175
19 1673818488 0,000163 0,800000 0,000137 0,000189 0,000000
16 1673818489 0,076643 0,200000 0,076643 0,076643 0,001175
19 1673818489 0,000163 0,800000 0,000137 0,000189 0,000000
19 1673818487 0,000166 0,200000 0,000166 0,000166 0,000000
19 1673818488 0,000166 0,200000 0,000166 0,000166 0,000000
19 1673818489 0,000166 0,200000 0,000166 0,000166 0,000000
16 1673818490 0,076643 0,200000 0,076643 0,076643 0,001175
16 1673818491 0,076643 0,200000 0,076643 0,076643 0,001175
19 1673818490 0,000163 1,000000 0,000137 0,000189 0,000000
19 1673818491 0,000163 1,000000 0,000137 0,000189 0,000000
22 1673818492 5,093176 0,200000 5,093176 5,093176 5,188089
22 1673818493 5,093176 0,200000 5,093176 5,093176 5,188089
22 1673818494 5,093176 0,200000 5,093176 5,093176 5,188089
22 1673818495 5,093176 0,200000 5,093176 5,093176 5,188089
22 1673818496 5,093176 0,200000 5,093176 5,093176 5,188089
37 1673818497 5,114133 0,200000 5,114133 5,114133 5,230871
37 1673818498 5,114133 0,200000 5,114133 5,114133 5,230871
37 1673818499 5,114133 0,200000 5,114133 5,114133 5,230871
37 1673818500 5,114133 0,200000 5,114133 5,114133 5,230871
37 1673818501 5,114133 0,200000 5,114133 5,114133 5,230871
16 1673818502 0,062852 0,200000 0,062852 0,062852 0,000790
16 1673818503 0,062852 0,200000 0,062852 0,062852 0,000790
16 1673818504 0,062852 0,200000 0,062852 0,062852 0,000790
19 1673818487 0,000193 0,200000 0,000193 0,000193 0,000000
19 1673818488 0,000193 0,200000 0,000193 0,000193 0,000000
19 1673818489 0,000193 0,200000 0,000193 0,000193 0,000000
19 1673818490 0,000193 0,200000 0,000193 0,000193 0,000000
19 1673818491 0,000193 0,200000 0,000193 0,000193 0,000000
16 1673818505 0,062852 0,200000 0,062852 0,062852 0,000790
16 1673818506 0,062852 0,200000 0,062852 0,062852 0,000790
22 1673818507 5,134877 0,200000 5,134877 5,134877 5,273392
41 1673818507 9,045083 0,200000 9,045083 9,045083 16,362704
22 1673818508 5,134877 0,200000 5,134877 5,134877 5,273392
41 1673818508 9,045083 0,200000 9,045083 9,045083 16,362704
22 1673818509 5,134877 0,200000 5,134877 5,134877 5,273392
41 1673818509 9,045083 0,200000 9,045083 9,045083 16,362704
22 1673818510 5,134877 0,200000 5,134877 5,134877 5,273392
41 1673818510 9,045083 0,200000 9,045083 9,045083 16,362704
22 1673818511 5,134877 0,200000 5,134877 5,134877 5,273392
41 1673818511 9,045083 0,200000 9,045083 9,045083 16,362704
50 1673818512 10,272882 0,200000 10,272882 10,272882 21,106421
53 1673818512 0,042449 0,200000 0,042449 0,042449 0,000360
47 1673818512 10,272671 0,200000 10,272671 10,272671 21,105554
44 1673818512 5,074784 0,200000 5,074784 5,074784 5,150687
50 1673818513 10,272882 0,200000 10,272882 10,272882 21,106421
53 1673818513 0,042449 0,200000 0,042449 0,042449 0,000360
47 1673818513 10,272671 0,200000 10,272671 10,272671 21,105554
44 1673818513 5,074784 0,200000 5,074784 5,074784 5,150687
50 1673818514 10,272882 0,200000 10,272882 10,272882 21,106421
53 1673818514 0,042449 0,200000 0,042449 0,042449 0,000360
47 1673818514 10,272671 0,200000 10,272671 10,272671 21,105554
44 1673818514 5,074784 0,200000 5,074784 5,074784 5,150687
50 1673818515 10,272882 0,200000 10,272882 10,272882 21,106421
53 1673818515 0,042449 0,200000 0,042449 0,042449 0,000360
47 1673818515 10,272671 0,200000 10,272671 10,272671 21,105554
44 1673818515 5,074784 0,200000 5,074784 5,074784 5,150687
50 1673818516 10,272882 0,200000 10,272882 10,272882 21,106421
53 1673818516 0,042449 0,200000 0,042449 0,042449 0,000360
47 1673818516 10,272671 0,200000 10,272671 10,272671 21,105554
44 1673818516 5,074784 0,200000 5,074784 5,074784 5,150687
16 1673818517 0,071947 0,200000 0,071947 0,071947 0,001035
56 1673818517 5,051813 0,200000 5,051813 5,051813 5,104162
16 1673818518 0,071947 0,200000 0,071947 0,071947 0,001035
56 1673818518 5,051813 0,200000 5,051813 5,051813 5,104162
16 1673818519 0,071947 0,200000 0,071947 0,071947 0,001035
19 1673818487 0,000169 0,200000 0,000169 0,000169 0,000000
19 1673818488 0,000169 0,200000 0,000169 0,000169 0,000000
19 1673818489 0,000169 0,200000 0,000169 0,000169 0,000000
19 1673818490 0,000169 0,200000 0,000169 0,000169 0,000000
19 1673818491 0,000169 0,200000 0,000169 0,000169 0,000000
56 1673818519 5,051813 0,200000 5,051813 5,051813 5,104162
16 1673818520 0,071947 0,200000 0,071947 0,071947 0,001035
56 1673818520 5,051813 0,200000 5,051813 5,051813 5,104162
16 1673818521 0,071947 0,200000 0,071947 0,071947 0,001035
56 1673818521 5,051813 0,200000 5,051813 5,051813 5,104162
62 1673818522 5,047351 0,200000 5,047351 5,047351 5,095151
59 1673818522 5,047358 0,200000 5,047358 5,047358 5,095165
62 1673818523 5,047351 0,200000 5,047351 5,047351 5,095151
59 1673818523 5,047358 0,200000 5,047358 5,047358 5,095165
59 1673818524 5,047358 0,200000 5,047358 5,047358 5,095165
62 1673818524 5,047351 0,200000 5,047351 5,047351 5,095151
62 1673818525 5,047351 0,200000 5,047351 5,047351 5,095151
59 1673818525 5,047358 0,200000 5,047358 5,047358 5,095165
62 1673818526 5,047351 0,200000 5,047351 5,047351 5,095151
59 1673818526 5,047358 0,200000 5,047358 5,047358 5,095165
65 1673818527 5,047499 0,200000 5,047499 5,047499 5,095450
44 1673818527 5,063606 0,200000 5,063606 5,063606 5,128022
71 1673818527 39,546137 0,200000 39,546137 39,546137 312,779392
68 1673818527 39,546282 0,200000 39,546282 39,546282 312,781689
65 1673818528 5,047499 0,200000 5,047499 5,047499 5,095450
44 1673818528 5,063606 0,200000 5,063606 5,063606 5,128022
71 1673818528 39,546137 0,200000 39,546137 39,546137 312,779392
68 1673818528 39,546282 0,200000 39,546282 39,546282 312,781689
65 1673818529 5,047499 0,200000 5,047499 5,047499 5,095450
44 1673818529 5,063606 0,200000 5,063606 5,063606 5,128022
71 1673818529 39,546137 0,200000 39,546137 39,546137 312,779392
68 1673818529 39,546282 0,200000 39,546282 39,546282 312,781689
65 1673818530 5,047499 0,200000 5,047499 5,047499 5,095450
44 1673818530 5,063606 0,200000 5,063606 5,063606 5,128022
71 1673818530 39,546137 0,200000 39,546137 39,546137 312,779392
68 1673818530 39,546282 0,200000 39,546282 39,546282 312,781689
65 1673818531 5,047499 0,200000 5,047499 5,047499 5,095450
44 1673818531 5,063606 0,200000 5,063606 5,063606 5,128022
71 1673818531 39,546137 0,200000 39,546137 39,546137 312,779392
68 1673818531 39,546282 0,200000 39,546282 39,546282 312,781689
16 1673818532 0,064444 0,200000 0,064444 0,064444 0,000831
74 1673818532 5,117998 0,200000 5,117998 5,117998 5,238780
16 1673818533 0,064444 0,200000 0,064444 0,064444 0,000831
74 1673818533 5,117998 0,200000 5,117998 5,117998 5,238780
16 1673818534 0,064444 0,200000 0,064444 0,064444 0,000831
74 1673818534 5,117998 0,200000 5,117998 5,117998 5,238780
19 1673818487 0,000186 0,200000 0,000186 0,000186 0,000000
19 1673818488 0,000186 0,200000 0,000186 0,000186 0,000000
19 1673818489 0,000186 0,200000 0,000186 0,000186 0,000000
19 1673818490 0,000186 0,200000 0,000186 0,000186 0,000000
19 1673818491 0,000186 0,200000 0,000186 0,000186 0,000000
16 1673818535 0,064444 0,200000 0,064444 0,064444 0,000831
74 1673818535 5,117998 0,200000 5,117998 5,117998 5,238780
16 1673818536 0,064444 0,200000 0,064444 0,064444 0,000831
74 1673818536 5,117998 0,200000 5,117998 5,117998 5,238780
80 1673818537 20,359904 0,200000 20,359904 20,359904 82,905137
22 1673818537 5,106644 0,200000 5,106644 5,106644 5,215563
77 1673818537 20,360068 0,200000 20,360068 20,360068 82,906473
44 1673818537 5,074898 0,200000 5,074898 5,074898 5,150918
80 1673818538 20,359904 0,200000 20,359904 20,359904 82,905137
22 1673818538 5,106644 0,200000 5,106644 5,106644 5,215563
77 1673818538 20,360068 0,200000 20,360068 20,360068 82,906473
44 1673818538 5,074898 0,200000 5,074898 5,074898 5,150918
